youngal02,Al Young,-,0,,,,,0
aminual01,Al-Farouq Aminu,2011-2021,1,,,,,10509
abdelal01,Alaa Abdelnaby,1991-1995,0,,,,,2396
aminual02,Alade Aminu,-,0,,,,,0
digbeal01,Alain Digbeau,-,0,,,,,0
anderal01,Alan Anderson,2006-2017,0,,,,,3506
cunnial01,Alan Cunningham,-,0,,,,,0
hardyal01,Alan Hardy,1981-1982,0,,,,,269
hendeal01,Alan Henderson,1996-2007,0,,,,,8740
oggal01,Alan Ogg,1991-1993,0,,,,,321
sawyeal01,Alan Sawyer,1951,0,,,,,363
seideal01,Alan Seiden,-,0,,,,,0
tayloal01,Alan Taylor,-,0,,,,,0
willial03,Alan Williams,2016-2019,1,,,,,823
zahnal01,Alan Zahn,-,0,,,,,0
tuckeal02,Alando Tucker,2008-2010,0,,,,,276
alamaal01,Albert Almanza,-,0,,,,,0
burdial01,Albert Burditt,-,0,,,,,0
buttsal01,Albert Butts,-,0,,,,,0
cultoal01,Albert Culton,-,0,,,,,0
irvinal01,Albert Irving,-,0,,,,,0
jonesal03,Albert Jones,-,0,,,,,0
kingal01,Albert King,1982-1992,0,,,,,9903
miralal01,Albert Miralles,-,0,,,,,0
brownal01,Alec Brown,-,0,,,,,0
burksal01,Alec Burks,2012-2022,1,,,,,10123
kesslal01,Alec Kessler,1991-1994,0,,,,,1916
peteral01,Alec Peters,2018,1,,,,,131
fordal03,Aleem Ford,2022,1,,,,,31
djordal01,Aleksandar Djordjevic,1997,0,,,,,35
pavloal02,Aleksandar Pavlovic,-,0,,,,,0
radojal01,Aleksandar Radojević,2000-2005,0,,,,,69
beloval01,Aleksander Belov,-,0,,,,,0
pokusal01,Aleksej Pokusevski,2021-2022,1,,,,,1589
smailal01,Alen Smailagić,2020-2021,1,,,,,147
gential01,Alessandro Gentile,-,0,,,,,0
abrinal01,Álex Abrines,2017-2019,1,,,,,1260
ackeral01,Alex Acker,2006-2009,0,,,,,126
antetal01,Alex Antetokounmpo,-,0,,,,,0
athasal01,Alex Athas,-,0,,,,,0
blackal01,Alex Blackwell,1993,0,,,,,64
bradlal02,Alex Bradley,1982,0,,,,,213
carusal01,Alex Caruso,2018-2022,1,,,,,2560
englial01,Alex English,1977-1991,0,,,,,36502
garcial01,Alex Garcia,2004-2005,0,,,,,80
gilbeal01,Alex Gilbert,-,0,,,,,0
grozaal01,Alex Groza,1950-1951,0,,,,,3952
hamilal01,Alex Hamilton,-,0,,,,,0
hannual01,Alex Hannum,1950-1957,0,,,,,5948
holcoal01,Alex Holcombe,-,0,,,,,0
kirkal01,Alex Kirk,2015,0,,,,,6
lenal01,Alex Len,2014-2022,1,,,,,8201
oriakal01,Alex Oriakhi,-,0,,,,,0
poythal01,Alex Poythress,2017-2019,1,,,,,343
robinal01,Alex Robinson,-,0,,,,,0
scaleal01,Alex Scales,2006,0,,,,,0
stephal01,Alex Stepheson,2016,0,,,,,52
stivral01,Alex Stivrins,1986-1993,0,,,,,70
johnsal01,Alexander Johnson,2007-2008,0,,,,,744
volkoal01,Alexander Volkov,1990-1992,0,,,,,1736
paranal01,Alexandre Paranhos,-,0,,,,,0
shvedal01,Alexey Shved,2013-2015,0,,,,,2164
ajincal01,Alexis Ajinça,2009-2017,0,,,,,2846
mckinal01,Alfonzo McKinnie,2018-2022,1,,,,,1232
mcguial01,Alfred McGuire,1952-1955,0,,,,,1538
hugheri01,Alfredrick Hughes,1986,0,,,,,530
johnsal02,Alize Johnson,2019-2022,1,,,,,431
bristal01,Allan Bristow,1974-1983,0,,,,,10456
hornyal01,Allan Hornyak,-,0,,,,,0
houstal01,Allan Houston,1994-2005,0,,,,,18975
rayal01,Allan Ray,2007,0,,,,,402
crabbal01,Allen Crabbe,2014-2020,1,,,,,4960
iversal01,Allen Iverson,1997-2010,0,,,,,33386
kelleal01,Allen Kelley,-,0,,,,,0
